Year,iPhone_Price_Million,SH_Price_Million,HaoHao_Price,BiaHoi_Price,Avg_Income_Million,Condo_Price_Million_SqM,DiningOut_Times_Month,Beauty_Spending_Million,Months_Salary_Per_SqM
2000,,,,3000,0.498,,,,
2005,,90,2500,3000,0.873,16.5,,,
2007,20,100,3000,4000,1.152,19.8,5.0,0.15,17.2
2008,25,110,3500,4000,1.447,26.2,5.5,0.2,18.1
2009,22,100,4000,5000,1.481,24.7,5.0,0.22,16.7
2010,25,120,4000,5000,1.628,28.9,6.0,0.25,17.7
2011,28,140,4500,5000,1.950,37.5,6.5,0.3,19.2
2012,29,150,4500,6000,2.198,41.6,7.0,0.35,18.9
2013,28,145,5000,7000,2.370,46.4,7.0,0.38,19.6
2014,29,140,5000,7000,2.567,49.5,7.5,0.4,19.3
2015,29,135,5000,8000,2.582,49.3,7.5,0.45,19.1
2016,32,140,5000,8000,2.720,47.1,7.5,0.48,17.3
2017,35,150,5000,9000,2.958,53.8,8.0,0.5,18.2
2018,38,160,5000,10000,3.202,60.4,8.5,0.52,18.9
2019,40,170,5000,11000,3.439,65.0,9.0,0.55,18.9
2020,38,165,5000,11000,3.549,55.7,2.0,0.6,15.7
2021,40,170,5000,12000,3.757,60.3,4.0,0.65,16.1
2022,45,190,5500,13000,4.102,73.5,7.0,0.75,17.9
2023,48,200,6000,13000,4.324,75.5,8.5,0.8,17.5
2024,50,215,6500,15000,7.700,80.6,9.5,0.85,10.5
2025,38,220,7000,15000,8.400,83.6,10.0,0.9,10.0