Year,Hanoi_Pho_Price_VND,HCMC_Pho_Price_VND,Exchange_Rate_USD,Pho_Price_USD_Hanoi,Pho_Price_USD_HCMC,Historical_Context,Data_Quality
1975,3,4,2.22,1.35,1.80,Subsidy period begins - rationing system,LOW_ESTIMATE
1976,4,5,2.22,1.80,2.25,Post-war reconstruction,LOW_ESTIMATE
1977,5,6,2.22,2.25,2.70,Currency unification,LOW_ESTIMATE
1978,8,10,2.22,3.60,4.50,First dong introduced,LOW_ESTIMATE
1979,12,15,2.22,5.41,6.76,Food shortage crisis,LOW_ESTIMATE
1980,20,25,2050,0.01,0.01,Severe inflation begins,LOW_ESTIMATE
1981,30,35,2050,0.01,0.02,Hyperinflation period,LOW_ESTIMATE
1982,50,60,2050,0.02,0.03,Economic stagnation,LOW_ESTIMATE
1983,80,100,2050,0.04,0.05,Subsidy system breaking down,LOW_ESTIMATE
1984,120,150,2050,0.06,0.07,Currency losing value rapidly,LOW_ESTIMATE
1985,100,120,2050,0.05,0.06,Currency revaluation 1:10,LOW_ESTIMATE
1986,150,180,3300,0.05,0.05,Doi Moi reforms begin - 700% inflation,MEDIUM_ESTIMATE
1987,250,300,3800,0.07,0.08,Market liberalization starts,MEDIUM_ESTIMATE
1988,400,500,4500,0.09,0.11,Private businesses allowed,MEDIUM_ESTIMATE
1989,600,750,5000,0.12,0.15,Economic opening accelerates,MEDIUM_ESTIMATE
1990,800,1000,6500,0.12,0.15,Stabilization begins,MEDIUM_ESTIMATE
1991,1000,1200,7500,0.13,0.16,Inflation slowing down,MEDIUM_ESTIMATE
1992,1300,1600,9000,0.14,0.18,Market economy taking shape,MEDIUM_ESTIMATE
1993,1600,2000,10500,0.15,0.19,Currency stabilizes,MEDIUM_ESTIMATE
1994,2000,2400,11000,0.18,0.22,US embargo ends,MEDIUM_ESTIMATE
1995,2500,3000,11000,0.23,0.27,Foreign investment increases,MEDIUM_ESTIMATE
1996,2800,3300,11100,0.25,0.30,Economic growth accelerates,MEDIUM_ESTIMATE
1997,3000,3500,11800,0.25,0.30,Asian financial crisis,GOOD
1998,3200,3800,13900,0.23,0.27,Recovery from crisis,GOOD
1999,3500,4200,14000,0.25,0.30,Economic stability returns,GOOD
2000,4000,4800,14428,0.28,0.33,Strong GDP growth,GOOD
2001,4200,5000,14800,0.28,0.34,WTO preparation,GOOD
2002,4500,5300,15300,0.29,0.35,Continued growth,GOOD
2003,5000,5800,15500,0.32,0.37,SARS impact minimal,GOOD
2004,5500,6500,15700,0.35,0.41,Manufacturing boom,GOOD
2005,6000,7000,15800,0.38,0.44,Pre-WTO growth,VERIFIED
2006,7000,8000,16000,0.44,0.50,WTO accession,VERIFIED
2007,8000,9000,16100,0.50,0.56,Foreign investment surge,VERIFIED
2008,10000,11000,16500,0.61,0.67,Global financial crisis,VERIFIED
2009,12000,13000,17900,0.67,0.73,Crisis recovery,VERIFIED
2010,15000,17000,19495,0.77,0.87,Strong rebound,VERIFIED
2011,18000,20000,20800,0.87,0.96,Inflation spike,VERIFIED
2012,20000,22000,20900,0.96,1.05,Stabilization efforts,VERIFIED
2013,22000,24000,21000,1.05,1.14,Growth moderates,VERIFIED
2014,23000,25000,21200,1.08,1.18,Stability returns,VERIFIED
2015,25000,28000,22500,1.11,1.24,Steady growth,VERIFIED
2016,27000,30000,22700,1.19,1.32,Manufacturing expansion,VERIFIED
2017,30000,33000,22700,1.32,1.45,FDI increases,VERIFIED
2018,32000,35000,23200,1.38,1.51,Trade agreements,VERIFIED
2019,35000,38000,23175,1.51,1.64,Pre-COVID peak,VERIFIED
2020,33000,36000,23173,1.42,1.55,COVID-19 lockdowns,VERIFIED
2021,35000,38000,23000,1.52,1.65,COVID recovery begins,VERIFIED
2022,40000,43000,23500,1.70,1.83,Post-COVID inflation,VERIFIED
2023,45000,48000,24000,1.88,2.00,Cost pressures increase,VERIFIED
2024,50000,55000,25000,2.00,2.20,E-invoice implementation,VERIFIED
2025,55000,60000,25350,2.17,2.37,Continued inflation,VERIFIED